Pcp_File_Version=4
0
11 0 0 0        x        h  Mat  Lay  Beta  Axz  Bxz  Dxz  Temp Conc SConc
1     0.0 -70.5614    1    1     0  1.0  1.0  1.0  20.0           
2   -10.0 -70.5614    1    1     0  1.0  1.0  1.0  20.0           
3   -20.0 -70.5614    1    1     0  1.0  1.0  1.0  20.0           
4   -30.0 -70.5614    1    1     0  1.0  1.0  1.0  20.0           
5   -40.0 -70.5614    1    1     0  1.0  1.0  1.0  20.0           
6   -50.0 -70.5614    1    1     0  1.0  1.0  1.0  20.0           
7   -60.0 -70.5614    1    1     0  1.0  1.0  1.0  20.0           
8   -70.0 -70.5614    1    1     0  1.0  1.0  1.0  20.0           
9   -80.0 -70.5614    1    1     0  1.0  1.0  1.0  20.0           
10  -90.0 -70.5614    1    1     0  1.0  1.0  1.0  20.0           
11 -100.0 -70.5614    1    1     0  1.0  1.0  1.0  20.0           
0
